country,geoname_id
Andorra,0
United Arab Emirates,-290557
Afghanistan,-1149361
Antigua and Barbuda,-3576396
Anguilla,-3573511
Albania,-5
Armenia,-6
Angola,-3351879
Antarctica,-6697173
Argentina,-9
American Samoa,-10
Austria,-11
Australia,-12
Aruba,-3577279
Aland Islands,-14
Azerbaijan,-15
Bosnia and Herzegovina,-16
Barbados,-17
Bangladesh,-18
Belgium,-19
Burkina Faso,-2361809
Bulgaria,-21
Bahrain,-22
Burundi,-433561
Benin,-2395170
Saint Barthelemy,-25
Bermuda,-26
Brunei,-27
Bolivia,-3923057
Bonaire Saint Eustatius and Saba,-7626844
Brazil,-30
Bahamas,-3572887
Bhutan,-1252634
Bouvet Island,-3371123
Botswana,-933860
Belarus,-35
Андорра,0
Объединенные Арабские Эмираты, -290557
Арабские Эмираты, -290557
Эмираты, -290557
Афганистан, -1149361
Антигуа и Барбуда, -3576396
Ангилья, -3573511
Албания, -5
Армения, -6
Ангола, -3351879
Антарктида, -6697173
Аргентина, -9
Американское Самоа, -10
Австрия, -11
Австралия, -12
Аруба, -3577279
Аландские острова, -14
Азербайджан, -15
Босния и Герцеговина, -16
Барбадос, -17
Бангладеш, -18
Бельгия,-19
Буркина-Фасо, -2361809
Болгария, -21
Бахрейн,-22
Бурунди,-433561
Бенин, -2395170
Сен-Бартелеми, -25
Бермудские острова, -26
Бруней, -27
Боливия, -3923057
Бонайре Сент-Эстатиус и Саба, -7626844
Бразилия, -30
Багамские острова, -3572887
Бутан, -1252634
остров Буве, -3371123
Ботсвана, -933860
Беларусь, -35
Belize,-3582678
Canada,-37
Cocos Islands,-1547376
Democratic Republic of the Congo,-203312
Central African Republic,-239880
Republic of the Congo,-2260494
Switzerland,-42
Ivory Coast,-2287781
Cook Islands,-1899402
Chile,-45
Cameroon,-2233387
China,-47
Colombia,-48
Costa Rica,-49
Cuba,-50
Cabo Verde,-51
Curacao,-7626836
Christmas Island,-53
Cyprus,-54
Czechia,-55
Germany,-56
Djibouti,-223816
Denmark,-58
Dominica,-3575830
Dominican Republic,-60
Algeria,-61
Ecuador,-62
Estonia,-63
Egypt,-64
Western Sahara,-2461445
Eritrea,-338010
Spain,-67
Ethiopia,-68
Finland,-69
Fiji,-2205218
Falkland Islands,-3474414
Micronesia,-72
Faroe Islands,-73
France,-74
Gabon,-2400553
Белиз, -3582678
Канада,-37
Кокосовые острова, -1547376
Демократическая Республика Конго, -203312
Центральноафриканская Республика, -239880
Республика Конго, -2260494
Швейцария,-42
Берег Слоновой Кости, -2287781
Острова Кука, -1899402
Чили, -45
Камерун, -2233387
Китай, -47
Колумбия, -48
Коста-Рика, -49
Куба, -50
Кабо-Верде, -51
Кюрасао, -7626836
Остров Рождества, -53
Кипр, -54
Чехия,-55
Германия,-56
Джибути,-223816
Дания,-58
Доминика, -3575830
Доминиканская Республика, -60
Алжир, -61
Эквадор,-62
Эстония,-63
Египет,-64
Западная Сахара, -2461445
Эритрея, -338010
Испания,-67
Эфиопия,-68
Финляндия,-69
Фиджи, -2205218
Фолклендские острова, -3474414
Микронезия, -72
Фарерские острова, -73
Франция, -74
Габон,-2400553
United Kingdom,-76
Grenada,-3580239
Georgia,-78
French Guiana,-79
Guernsey,-80
Ghana,-2300660
Gibraltar,-2411586
Greenland,-83
Gambia,-2413451
Guinea,-2420477
Guadeloupe,-86
Equatorial Guinea,-2309096
Greece,-88
South Georgia and the South Sandwich Islands,-3474415
Guatemala,-90
Guam,-91
Guinea-Bissau,-92
Guyana,-3378535
Hong Kong,-1819730
Heard Island and McDonald Islands,-1547314
Honduras,-96
Croatia,-97
Haiti,-98
Hungary,-99
Indonesia,-100
Ireland,-2963597
Israel,-102
Isle of Man,-103
India,-104
British Indian Ocean Territory,-1282588
Iraq,-106
Iran,-107
Iceland,-108
Italy,-109
Jersey,-110
Jamaica,-3489940
Jordan,-112
Japan,-113
Kenya,-114
Kyrgyzstan,-115
Cambodia,-116
Kiribati,-4030945
Соединенное Королевство,-76
Британия,-76
Англия,-76
Великобритания,-76
Гренада,-3580239
Грузия,-78
Французская Гвиана, -79
Гернси, -80
Гана, -2300660
Гибралтар, -2411586
Гренландия, -83
Гамбия, -2413451
Гвинея, -2420477
Гваделупа,-86
Экваториальная Гвинея, -2309096
Греция,-88
Южная Георгия и Южные Сандвичевы острова, -3474415
Гватемала,-90
Гуам,-91
Гвинея-Бисау,-92
Гайана,-3378535
Гонконг, -1819730
Острова Херд и Макдональд, -1547314
Гондурас,-96
Хорватия, -97
Гаити, -98
Венгрия, -99
Индонезия,-100
Ирландия, -2963597
Израиль,-102
Остров Мэн, -103
Индия, -104
Британская территория в Индийском океане, -1282588
Ирак, -106
Иран,-107
Исландия, -108
Италия,-109
Джерси,-110
Ямайка,-3489940
Иордания,-112
Япония,-113
Кения,-114
Кыргызстан,-115
Камбоджа,-116
Comoros,-921929
Saint Kitts and Nevis,-3575174
North Korea,-120
South Korea,-121
Kosovo,-831053
Kuwait,-123
Cayman Islands,-3580718
Kazakhstan,-125
Laos,-126
Lebanon,-127
Saint Lucia,-3576468
Liechtenstein,-129
Sri Lanka,-130
Liberia,-131
Lesotho,-132
Lithuania,-133
Luxembourg,-134
Latvia,-135
Libya,-2215636
Morocco,-137
Monaco,-138
Moldova,-139
Montenegro,-140
Saint Martin,-141
Madagascar,-142
Marshall Islands,-143
North Macedonia,-144
Mali,-2453866
Myanmar,-146
Mongolia,-147
Macao,-1821275
Northern Mariana Islands,-149
Martinique,-150
Mauritania,-2378080
Montserrat,-3578097
Malta,-153
Mauritius,-934292
Maldives,-155
Malawi,-156
Mexico,-157
Malaysia,-158
Mozambique,-159
Namibia,-3355338
New Caledonia,-161
Niger,-162
Norfolk Island,-163
Nigeria,-164
Nicaragua,-165
The Netherlands,-166
Коморские острова, -921929
Сент-Китс и Невис, -3575174
Северная Корея, -120
КНДР, -120
Южная Корея, -121
Косово, -831053
Кувейт, -123
Каймановы острова, -3580718
Казахстан,-125
Лаос,-126
Ливан,-127
Сент-Люсия,-3576468
Лихтенштейн,-129
Шри-Ланка,-130
Либерия,-131
Лесото, -132
Литва,-133
Люксембург,-134
Латвия,-135
Ливия,-2215636
Марокко,-137
Монако,-138
Молдова,-139
Черногория, -140
Сен-Мартен,-141
Мадагаскар,-142
Маршалловы острова, -143
Северная Македония,-144
Мали,-2453866
Мьянма,-146
Монголия, -147
Макао, -1821275
Северные Марианские острова, -149
Мартиника, -150
Мавритания, -2378080
Монтсеррат, -3578097
Мальта,-153
Маврикий, -934292
Мальдивы, -155
Малави, -156
Мексика, -157
Малайзия, -158
Мозамбик,-159
Намибия, -3355338
Новая Каледония, -161
Нигер, -162
Остров Норфолк, -163
Нигерия,-164
Никарагуа,-165
Нидерланды, -166
Norway,-167
Nepal,-168
Nauru,-2110425
Niue,-4036232
New Zealand,-171
Oman,-172
Panama,-3703430
Peru,-174
French Polynesia,-175
Papua New Guinea,-176
Philippines,-177
Pakistan,-178
Poland,-179
Saint Pierre and Miquelon,-180
Pitcairn,-4030699
Puerto Rico,-182
Palestinian Territory,-6254930
Portugal,-184
Palau,-1559582
Paraguay,-186
Qatar,-289688
Reunion,-188
Romania,-189
Serbia,-190
Russia,-191
Rwanda,-49518
Saudi Arabia,-193
Solomon Islands,-2103350
Seychelles,-241170
Sudan,-196
South Sudan,-7909807
Sweden,-198
Singapore,-199
Saint Helena,-3370751
Slovenia,-201
Svalbard and Jan Mayen,-202
Slovakia,-203
Sierra Leone,-2403846
Норвегия,-167
Непал,-168
Науру, -2110425
Ниуэ, -4036232
Новая Зеландия, -171
Оман,-172
Панама,-3703430
Перу,-174
Французская Полинезия, -175
Папуа - Новая Гвинея, -176
Филиппины, -177
Пакистан,-178
